Problema,Solver,Status,Tempo_Segundos,Valor_Objetivo,F_Star,Gap,Dual_Infeasibility,Primal_Infeasibility,Iteracoes,Timestamp
ex8_3_14,Ipopt,LOCALLY_SOLVED,0.0099718,-100.00000090909087,-2.4124,28.597937202288968,-100.00000334239499,NaN,15,2026-05-23T06:18:55.624
ex8_3_2,Ipopt,ERRO: LoadError,300.0,NaN,-0.4123,NaN,NaN,NaN,0,2026-05-23T06:18:55.845
ex8_3_3,Ipopt,ERRO: LoadError,300.0,NaN,-0.4166,NaN,NaN,NaN,0,2026-05-23T06:18:56.027
ex8_3_4,Ipopt,ERRO: LoadError,300.0,NaN,-3.58,NaN,NaN,NaN,0,2026-05-23T06:18:56.226
ex8_3_5,Ipopt,LOCALLY_SOLVED,0.013665,-10.000000009090602,-0.0688,9.2919161761701,-10.000004087070643,NaN,26,2026-05-23T06:18:56.418
ex8_3_6,Ipopt,ERRO: LoadError,300.0,NaN,-0.5,NaN,NaN,NaN,0,2026-05-23T06:18:56.591
ex8_3_7,Ipopt,ERRO: LoadError,300.0,NaN,-1.2326,NaN,NaN,NaN,0,2026-05-23T06:18:56.757
ex8_3_8,Ipopt,ERRO: LoadError,300.0,NaN,-3.2468,NaN,NaN,NaN,0,2026-05-23T06:18:56.885
ex8_3_9,Ipopt,LOCALLY_SOLVED,0.0064264,-0.7416198487095647,-0.763,0.012127141968482903,-3.924507603900191e-6,NaN,12,2026-05-23T06:18:57.054
ex8_4_1,Ipopt,LOCALLY_SOLVED,0.0043673,0.6185727594315192,0.6186,1.6829709922650388e-5,-2.5001461015690505e-6,NaN,8,2026-05-23T06:18:57.108
ex8_4_2,Ipopt,LOCALLY_SOLVED,0.0049098,0.48515248692405766,0.4852,3.1991028778859774e-5,-1.140235761237028e-6,NaN,11,2026-05-23T06:18:57.167
ex8_4_3,Ipopt,LOCALLY_SOLVED,0.0089173,0.004649715587153878,0.0046,4.9487942617836083e-5,7.259453728651253e-9,NaN,16,2026-05-23T06:18:57.266
ex8_4_4,Ipopt,LOCALLY_SOLVED,0.0067004,0.21245983825513132,0.2125,3.312308855148661e-5,1.9657066517612117e-6,NaN,9,2026-05-23T06:18:57.327
ex8_4_5,Ipopt,LOCALLY_SOLVED,0.0135674,0.0012253753779168431,0.0003,0.0009250978485622745,-0.005638573892235046,NaN,22,2026-05-23T06:18:57.392
